title,client,agency,year,team_members,skills,featured,included,sort_order,thumbnail_path,gallery_path,video_link,description
Death From Above Promo Animation,Death From Above,Ceremony,2024,[Team members],Motion Design; 3D Animation; VFX,Y,Y,1,Projects/WebPrepped/CeremonyStudio/P0012_DFA_BrickBYBrick/ProjectThumb,Projects/WebPrepped/CeremonyStudio/P0012_DFA_BrickBYBrick/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for DFA - Brick by Brick project. Add details about creative process and impact here.
VX1000 Visuals,Ceremony,Ceremony,2024,[Team members],Motion Design; 3D Animation; Product Visualization,Y,Y,2,Projects/WebPrepped/CeremonyStudio/P0024_VX1000_PopUp_01/ProjectThumb,Projects/WebPrepped/CeremonyStudio/P0024_VX1000_PopUp_01/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for VX1000 - Pop-Up project. Add details about creative process and impact here.
Spur Cafe Shop Launch,Spur Café,Industrial Drive,2024,[Team members],Motion Design; Logo Design; Animation,Y,Y,3,Projects/WebPrepped/CeremonyStudio/P0030_ID_Spur_01/ProjectThumb,Projects/WebPrepped/CeremonyStudio/P0030_ID_Spur_01/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for Spur project. Add details about creative process and impact here.
Internal Experiments,Ceremony,Ceremony,2024,[Team members],3D Animation; Character Animation; Motion Design,Y,Y,4,Projects/WebPrepped/CeremonyStudio/P0022_CRMNY_Dancer_01/ProjectThumb,Projects/WebPrepped/CeremonyStudio/P0022_CRMNY_Dancer_01/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for CRMNY - Dancer (3D) project. Add details about creative process and impact here.
Immunity Juice Recipe Animation,Ceremony,Ceremony,2024,[Team members],Motion Design; VFX; Animation,Y,Y,5,Projects/WebPrepped/CeremonyStudio/P0035_ImmunityJuice_01/ProjectThumb,Projects/WebPrepped/CeremonyStudio/P0035_ImmunityJuice_01/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for Immunity Juice project. Add details about creative process and impact here.
Particle Textures,Ceremony,Ceremony,2024,[Team members],Generative Art; 3D; Texture Design,Y,Y,6,Projects/WebPrepped/CeremonyStudio/P0028_ParticleTextures_01/ProjectThumb,Projects/WebPrepped/CeremonyStudio/P0028_ParticleTextures_01/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for Particle Textures project. Add details about creative process and impact here.
Two Pints With,Young Henries,Industrial Drive,2024,[Team members],Character Animation; Motion Design; Illustration,Y,Y,7,Projects/WebPrepped/CeremonyStudio/P0044_ID_YoungHenries_2PintsWith/ProjectThumb,Projects/WebPrepped/CeremonyStudio/P0044_ID_YoungHenries_2PintsWith/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for Young Henries - 2 Pints With project. Add details about creative process and impact here.
Board Sale,Galeria Skateboards,Ceremony,2024,[Team members],Motion Design; VFX; Animation,Y,Y,8,Projects/WebPrepped/CeremonyStudio/P0036_Galeria_PS1/ProjectThumb,Projects/WebPrepped/CeremonyStudio/P0036_Galeria_PS1/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for Galeria PS1 - Sale Reel project. Add details about creative process and impact here.
Cliff Hangout,Ceremony,Ceremony,2024,[Team members],Motion Design; Animation,N,Y,9,Projects/WebPrepped/CeremonyStudio/P0041_CliffHangout_01/ProjectThumb,Projects/WebPrepped/CeremonyStudio/P0041_CliffHangout_01/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for Cliff Hangout project. Add details about creative process and impact here.
CRMNY - Galeria,Galeria Skateboards,Ceremony,2024,[Team members],Motion Design; 3D Animation; VFX,N,Y,10,Projects/WebPrepped/CeremonyStudio/P0014_Galeria_HC_01/ProjectThumb,Projects/WebPrepped/CeremonyStudio/P0014_Galeria_HC_01/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for CRMNY - Galeria project. Add details about creative process and impact here.
